#  GBr_GRr          G           Gapp
     2.90532      11.6629      17.3245 
     3.07125      12.6477      18.3093 
     2.00922      8.37622      14.0378 
   0.0444112      1.32017      6.98176 
     1.27622      6.55198      12.2136 
     3.43109      12.2776      17.9392 
     3.72099      13.1209      18.7825 
     2.73279      10.0891      15.7507 
     0.71356      4.09109      9.75268 
     1.82407      7.99359      13.6552 
      1.0635      5.80824      11.4698 
     3.16237        11.75      17.4116 
    0.425683      2.54687      8.20846 
     1.12992        6.028      11.6896 
     1.90393      8.24031      13.9019 
     3.31052      12.0598      17.7214 
     3.30219      12.1295      17.7911 
     2.10596      8.57639       14.238 
     3.12309      11.6786      17.3402 
     2.64143      11.5003      17.1619 
     2.86507      10.4401      16.1017 
    0.642227      3.38805      9.04964 
     1.84678      8.08131      13.7429 
     1.77964      7.91399      13.5756 
     1.37697       6.7955      12.4571 
    0.901253      4.99759      10.6592 
     2.79199      10.4621      16.1236 
     2.90597      14.1071      19.7687 
     1.04861      4.92555      10.5871 
     3.53591       12.268      17.9296 
     2.89669      10.6001      16.2617 
     1.83988      8.05566      13.7172 
     3.57879      11.9949      17.6565 
    0.273994      2.15652      7.81811 
     3.33258      12.5606      18.2222 
     3.19037      11.6593      17.3208 
     1.66726      7.68684      13.3484 
     3.28489      11.8278      17.4894 
     2.98986      11.6674       17.329 
     1.13521      4.69946       10.361 
     2.39464      8.52939       14.191 
     3.06262      11.0206      16.6822 
     2.51104      12.3941      18.0557 
     3.15751      12.2343      17.8959 
     2.72743      10.1638      15.8253 
     3.13449      10.5254       16.187 
     2.67337      9.97713      15.6387 
     3.29514      11.5993      17.2609 
     3.17407      11.8287      17.4903 
       2.914      10.7118      16.3734 
      3.2259      12.6717      18.3333 
     3.04869      10.6958      16.3574 
     2.76866      11.0158      16.6774 
     2.89432      10.7802      16.4418 
      1.7276      7.72553      13.3871 
     2.91578      10.6876      16.3492 
    0.220508      2.07051       7.7321 
     2.59895      9.74783      15.4094 
     3.01659       11.464      17.1256 
     2.89099       11.754      17.4156 
     1.21284      14.0519      19.7135 
     2.46945      8.62517      14.2868 
   0.0498743      1.61157      7.27316 
     3.35726      12.4868      18.1484 
     3.08015      13.9635      19.6251 
     3.14919      10.8594       16.521 
     2.32468      13.0647      18.7263 
     3.41471      13.0068      18.6684 
     2.78821      10.7809      16.4424 
     2.81149      10.4206      16.0822 
    0.839788      4.68182      10.3434 
      1.1916      6.16231      11.8239 
     3.17828      12.1643      17.8259 
      2.7971      11.0595      16.7211 
    0.822651      4.72168      10.3833 
     3.10352       11.619      17.2806 
     3.03551      10.2942      15.9558 
     2.17656      8.76691      14.4285 
     3.23111       13.521      19.1826 
     3.02067      11.4163      17.0779 
     3.40082      13.8534       19.515 
    0.606137      3.40052      9.06211 
     2.04033      8.44049      14.1021 
     3.21069      11.7383      17.3999 
     3.00996      11.6005      17.2621 
     2.48732      9.40021      15.0618 
     1.85843      7.78986      13.4514 
      1.5945      6.93336      12.5949 
     1.02239      5.60734      11.2689 
     3.15488       12.191      17.8525 
     3.17946      11.4339      17.0955 
     2.89892       10.656      16.3176 
     3.20947      13.2634       18.925 
     1.91476      13.0175      18.6791 
     3.23727      11.4735      17.1351 
    0.958409      5.28138       10.943 
     3.38012      13.7395      19.4011 
     1.33269      6.58551      12.2471 
     3.26223      11.1966      16.8582 
     3.28114      11.3082      16.9698 
     3.52568      12.5096      18.1712 
    0.391764      2.66264      8.32423 
     2.87082      10.2924       15.954 
    0.796441      4.54956      10.2111 
     2.52042      13.7657      19.4273 
     1.72488      7.77015      13.4317 
     3.14201      10.7555      16.4171 
      2.8432      10.4781      16.1397 
    0.876738      4.91482      10.5764 
     2.75403      11.7957      17.4573 
