!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Models calculated by Jeremy Heyl with Phoenix in March 2018; low T and high g various Z
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (characteristic of CCDs)
!
! HST ACS/WFC3 Bands / HST WFC3 Bands /  Johnson Bands / JWST NIRCAM Bands / GAIA / PanSTARRS / 2MASS
!
!                 1                 2                 3                 4                 5                 6                 7                 8                 9                10                11                12                13                14                15                16                17                18                19                20                21                22                23                24                25                26                27                28                29                30                31                32                33                34                35                36                37                38                39                40                41                42                43                44                45                46                47                48                49                50                51                52                53                54                55                56                57                58                59                60                61                62                63                64                65                66                67                68                69                70                71                72                73                74                75                76                77                78                79                80                81                82
!              Teff              Logg             [M/H]             [a/H]         LambdaMax             F435W             F475W             F555W             F606W             F625W             F775W             F814W            F200LP             F218W             F225W             F275W             F300X             F336W             F390W             F438W             F475W             F475X             F555W            F600LP             F606W             F625W             F775W             F814W             F105W             F110W             F125W             F140W             F160W                 U                 B                 V                 R                 I                 J                 H                 K         F070W_NRC         F090W_NRC         F115W_NRC         F140M_NRC        F150W2_NRC         F150W_NRC         F162M_NRC         F164N_NRC         F182M_NRC         F187N_NRC         F200W_NRC         F210M_NRC         F212N_NRC         F250M_NRC         F277W_NRC         F300M_NRC        F322W2_NRC         F323N_NRC         F335M_NRC         F356W_NRC         F360M_NRC         F405N_NRC         F410M_NRC         F430M_NRC         F444W_NRC         F460M_NRC         F466N_NRC         F470N_NRC         F480M_NRC     GAIA_GAIA2r.G   GAIA_GAIA2r.Gbp   GAIA_GAIA2r.Grp  PAN-STARRS-PS1.g  PAN-STARRS-PS1.i  PAN-STARRS-PS1.r  PAN-STARRS-PS1.w  PAN-STARRS-PS1.y  PAN-STARRS-PS1.z     2MASS_2MASS.H     2MASS_2MASS.J    2MASS_2MASS.Ks
           1700.00              5.00             -1.00              0.40       9.99500e+06      -19.53988834      -21.50763841      -23.22472576      -25.73497504      -26.21298127      -29.55776095      -30.78322365      -28.92170319      -20.16949855      -21.45235060      -20.34422993      -20.67954425      -16.91373811      -17.31328504      -18.90935805      -21.55272759      -23.09919825      -23.75187014      -30.44076914      -25.64923920      -26.11047979      -29.46026390      -30.83262895      -33.85783109      -34.42670976      -34.90739290      -35.11849246      -35.40589211      -15.53785745      -20.00788861      -23.69757448      -28.47355121      -32.05955992      -34.76113570      -35.76526489      -36.24214813      -27.96079667      -32.28466114      -34.62700884      -34.54054784      -35.38128066      -35.24264797      -35.89435246      -36.03232171      -35.66767708      -35.62726117      -35.94278338      -36.20847488      -36.32258669      -36.43088765      -36.63189597      -36.85614914      -37.14537919      -37.20929968      -37.36790528      -37.58473991      -37.68012214      -37.89706125      -37.84825411      -37.73308728      -37.77739210      -37.65556027      -37.70399572      -37.69531344      -37.72495850      -29.66730182      -24.89061300      -31.73611284      -29.93752786      -30.50945843      -29.98845573      -28.99218742      -33.43499838      -31.98396390      -35.80918438      -35.05563865      -36.32709848
           1800.00              5.00             -1.00              0.40       9.99500e+06      -20.83769535      -22.61686785      -24.00017750      -26.53226333      -27.00601080      -30.40637573      -31.57085025      -29.66563638      -20.91906585      -22.20204668      -21.08424121      -21.42847495      -17.62331625      -18.39125431      -20.18820282      -22.65847746      -23.91113150      -24.56012774      -31.18433198      -26.44724652      -26.90555711      -30.31443859      -31.61425197      -34.41017102      -34.89542894      -35.34057548      -35.46399906      -35.65195537      -16.60212662      -21.26655450      -24.48698355      -29.29275516      -32.75305820      -35.19461039      -35.99753316      -36.34967280      -28.69036118      -33.00959511      -35.10608067      -34.81298610      -35.63342527      -35.49681240      -36.13909204      -36.28151379      -35.81343847      -35.74916053      -36.06856795      -36.32850824      -36.44765504      -36.49106054      -36.68146982      -36.89741849      -37.18797482      -37.24903721      -37.40857455      -37.62363179      -37.71926734      -37.93403814      -37.88399740      -37.76622830      -37.80903057      -37.68255975      -37.73063511      -37.72235425      -37.75118423      -30.43932245      -25.48313835      -32.18754652      -30.05742160      -30.85794857      -30.12974100      -29.33578064      -33.91940463      -32.61467021      -36.04226186      -35.49337118      -36.44558315
           1900.00              5.00             -1.00              0.40       9.99500e+06      -22.00809132      -23.74928819      -24.84119012      -27.22916236      -27.68817424      -31.18746401      -32.25644777      -30.30592173      -21.55734594      -22.84101089      -21.71509677      -22.06920797      -18.29634511      -19.37827766      -21.33878852      -23.78943205      -24.71986440      -25.34974022      -31.82383676      -27.14665148      -27.59599665      -31.10231054      -32.29178360      -34.88032989      -35.29619610      -35.70719123      -35.78439658      -35.93152195      -17.63667177      -22.45720668      -25.29778463      -30.04790215      -33.34683713      -35.56922946      -36.26735302      -36.49104220      -29.42309304      -33.61379207      -35.50558829      -35.12053631      -35.90271715      -35.78354936      -36.41859265      -36.56419186      -35.99364623      -35.89112865      -36.22975591      -36.48769597      -36.61754523      -36.55240472      -36.72755351      -36.93626700      -37.25265614      -37.30590126      -37.47548285      -37.69879532      -37.79859603      -38.01105643      -37.95825708      -37.82233913      -37.86154480      -37.71064906      -37.75961338      -37.75296040      -37.77823466      -31.09682033      -26.12399395      -32.65599975      -30.20247190      -31.32887354      -30.30346710      -29.79457068      -34.37522151      -33.20826818      -36.31325666      -35.85617548      -36.60614619
           1900.00              5.50             -1.00              0.40       9.99500e+06      -22.03691032      -23.64538087      -24.79126749      -27.30380383      -27.77151343      -31.21271923      -32.31290241      -30.35813037      -21.61519255      -22.89757591      -21.76423194      -22.12360782      -18.32606230      -19.51049115      -21.37979078      -23.68549167      -24.71489139      -25.35693565      -31.87626271      -27.22006772      -27.67254030      -31.12029668      -32.35073087      -34.92233338      -35.33369419      -35.75308528      -35.83948984      -35.95082400      -17.73578490      -22.42026127      -25.26439033      -30.08522680      -33.39112317      -35.61846270      -36.23463830      -36.45915522      -29.46436552      -33.67553769      -35.53951464      -35.23546875      -35.90234321      -35.81611812      -36.36177102      -36.46526902      -35.99667263      -35.92478813      -36.21007812      -36.44637607      -36.55015880      -36.58181591      -36.76981813      -36.98403357      -37.27646810      -37.35897488      -37.51573760      -37.71336124      -37.81243180      -38.00218453      -37.95410402      -37.84333718      -37.86905820      -37.72882146      -37.78012536      -37.77207909      -37.79747284      -31.14607696      -26.14533102      -32.70032236      -30.21707660      -31.32869548      -30.32365056      -29.81174289      -34.43333442      -33.24710803      -36.27212248      -35.89117015      -36.54423732
           2000.00              4.50             -1.00              0.40       9.99500e+06      -23.28767960      -25.07633880      -25.96224186      -27.83859373      -28.24761665      -31.97322750      -32.85359376      -30.86259114      -22.09535009      -23.37675981      -22.25165514      -22.62172937      -19.55966890      -20.40987785      -22.64205828      -25.11329049      -25.66255427      -26.23949844      -32.37832816      -27.76183047      -28.18026800      -31.90155303      -32.87614831      -35.26680588      -35.61875241      -35.98533108      -36.02859629      -36.18289961      -19.21704994      -23.79651443      -26.29556834      -30.79661050      -33.85306743      -35.86080668      -36.54966143      -36.73729466      -30.28438321      -34.10588477      -35.82224652      -35.39693828      -36.18409360      -36.03896913      -36.70711627      -36.88487644      -36.24052394      -36.07720246      -36.47709046      -36.74211859      -36.89251895      -36.63588577      -36.76332027      -36.95151532      -37.31879369      -37.34749362      -37.53810923      -37.78115732      -37.88267936      -38.11093454      -38.05715932      -37.89676548      -37.93118997      -37.74897911      -37.79861977      -37.79479530      -37.81072228      -31.66942012      -26.78581831      -33.10252085      -30.36784170      -31.95708936      -30.49466072      -30.39918433      -34.75658608      -33.73195758      -36.60085476      -36.12751395      -36.89473593
           2000.00              5.00             -1.00              0.40       9.99500e+06      -23.24601034      -25.00463501      -25.92298878      -27.99120526      -28.42471807      -31.99649196      -32.94487327      -30.94983107      -22.19600637      -23.47648724      -22.34375457      -22.71183811      -19.19397376      -20.50617179      -22.57751782      -25.04529881      -25.69872601      -26.29440292      -32.46610711      -27.91358160      -28.34485180      -31.91845768      -32.97061170      -35.33549960      -35.68627386      -36.05996480      -36.09820927      -36.20943870      -18.95207053      -23.72538505      -26.30782551      -30.83241556      -33.93714267      -35.93266150      -36.53385889      -36.65661728      -30.24211716      -34.21080618      -35.89023492      -35.44578987      -36.18199883      -36.07069300      -36.68936669      -36.83604376      -36.19744042      -36.06215261      -36.41440904      -36.66777142      -36.80612522      -36.63258039      -36.78718528      -36.98660470      -37.32614862      -37.37571092      -37.55300792      -37.78016464      -37.88249161      -38.09193030      -38.03789752      -37.88966473      -37.92230937      -37.74955566      -37.79972885      -37.79510481      -37.81532448      -31.75359390      -26.90538316      -33.17809358      -30.37659581      -31.93453136      -30.52441047      -30.39284417      -34.85084505      -33.82500072      -36.58006869      -36.20210143      -36.78844101
           2000.00              5.50             -1.00              0.40       9.99500e+06      -22.99966598      -24.64239515      -25.58083664      -27.91658218      -28.36963187      -31.90145432      -32.90708897      -30.91114195      -22.16918033      -23.44679707      -22.30811987      -22.67589003      -18.94574795      -20.34723157      -22.31973544      -24.68244869      -25.45876589      -26.08021266      -32.42835538      -27.83628055      -28.27862051      -31.81448433      -32.93606805      -35.31153341      -35.67140245      -36.06043813      -36.11730140      -36.20492557      -18.64353241      -23.42120967      -26.01788217      -30.74810043      -33.90101901      -35.93349133      -36.47774605      -36.59212733      -30.12581980      -34.18898571      -35.87094323      -35.52157175      -36.14693231      -36.07737331      -36.61185647      -36.71873948      -36.16763593      -36.06422614      -36.36298752      -36.59641278      -36.70952306      -36.64058655      -36.81521440      -37.02424385      -37.34157415      -37.42094628      -37.58663737      -37.78967548      -37.89229625      -38.07828361      -38.02807151      -37.90167306      -37.92186309      -37.75711741      -37.80992888      -37.80381633      -37.82505685      -31.71110028      -26.77692979      -33.15047072      -30.36540277      -31.82791141      -30.51141015      -30.30549235      -34.84236166      -33.79028356      -36.51591362      -36.19317931      -36.69288515
           2100.00              4.50             -1.00              0.40       9.99500e+06      -24.27353453      -26.00917773      -26.81888466      -28.40595920      -28.78061771      -32.52701840      -33.31619793      -31.29666428      -22.51898416      -23.79726455      -22.66861789      -23.06638622      -20.85070442      -21.41791752      -23.65408608      -26.04492269      -26.44107335      -26.98903980      -32.81012525      -28.33480291      -28.72572865      -32.46002912      -33.33261432      -35.56097822      -35.87579059      -36.21771791      -36.24646701      -36.38156571      -20.60448059      -24.76735137      -27.08977036      -31.34505241      -34.24133501      -36.10180840      -36.73712268      -36.89288633      -30.91846587      -34.49553277      -36.07124843      -35.65467017      -36.38751814      -36.24734305      -36.88989509      -37.06375130      -36.42294091      -36.24997733      -36.64355613      -36.89831527      -37.04606300      -36.74069580      -36.84366343      -37.01800269      -37.39509396      -37.42377156      -37.61615624      -37.85584050      -37.95758585      -38.18167055      -38.12891944      -37.96931061      -37.99574326      -37.80668011      -37.85638557      -37.85346300      -37.86411250      -32.10970737      -27.39555616      -33.47276649      -30.51929835      -32.43257658      -30.68134157      -30.87871522      -35.07612260      -34.14175490      -36.78721173      -36.35259483      -37.05464907
           2100.00              5.00             -1.00              0.40       9.99500e+06      -24.07484697      -25.85546718      -26.70367507      -28.48343179      -28.88556350      -32.54306844      -33.39287828      -31.36679829      -22.60405165      -23.88192565      -22.74568190      -23.12881861      -20.12434641      -21.21714352      -23.39969384      -25.89511040      -26.38826489      -26.95635525      -32.88130874      -28.41065013      -28.82013607      -32.47004306      -33.41134595      -35.61708483      -35.93411753      -36.28522350      -36.31625416      -36.42517538      -19.96979386      -24.57689184      -27.02546965      -31.36318955      -34.31270754      -36.16626682      -36.74075753      -36.82249271      -30.83366264      -34.58444481      -36.12856810      -35.71380755      -36.39347999      -36.29463902      -36.89280413      -37.03866099      -36.38909660      -36.23444066      -36.59339458      -36.84144998      -36.98437688      -36.72201581      -36.85359495      -37.04289118      -37.40519404      -37.45343921      -37.63791341      -37.86638753      -37.97072646      -38.17678930      -38.12245775      -37.96602552      -37.98939580      -37.79622917      -37.84775202      -37.84550219      -37.85913332      -32.17815517      -27.44881083      -33.53905217      -30.52775888      -32.41057357      -30.70963918      -30.86694200      -35.15746231      -34.22696680      -36.78646813      -36.41882459      -36.96639587
           2100.00              5.50             -1.00              0.40       9.99500e+06      -23.75903841      -25.48529674      -26.34040069      -28.41235626      -28.84340205      -32.45464412      -33.36823462      -31.33999318      -22.59345586      -23.86735155      -22.72491684      -23.10231122      -19.58235342      -20.99140312      -23.05676821      -25.52657520      -26.12986460      -26.72589467      -32.85590249      -28.33651776      -28.76408877      -32.37266221      -33.38953530      -35.60419217      -35.92998907      -36.29616777      -36.34304759      -36.42843772      -19.44989097      -24.23112565      -26.72298283      -31.28279906      -34.29172929      -36.17680114      -36.69283879      -36.74259009      -30.69529594      -34.57690141      -36.12022979      -35.78418860      -36.36141537      -36.30779137      -36.82797084      -36.93718705      -36.34827682      -36.22144306      -36.53006304      -36.76006929      -36.88103326      -36.71396242      -36.87139117      -37.07398806      -37.41504027      -37.49391831      -37.66728528      -37.87287956      -37.97787214      -38.16077727      -38.10907671      -37.97106071      -37.98291127      -37.79424314      -37.84914574      -37.84547065      -37.86084667      -32.14842210      -27.32952717      -33.52088320      -30.51201141      -32.29509500      -30.69640800      -30.76944061      -35.15947270      -34.21391789      -36.73117150      -36.42137573      -36.85720787
