# WOCS    Vmag     BmV     VmR     VmI    Vmag1   BmV1    Vmag2   BmV2    Vmag3   BmV3    Jmag    JmKs    A74  S72     _RA        _DE   
008003  13.265   1.249   0.650   1.251  13.301   1.224  13.284   1.240  99.999  99.999  11.079   0.721   425   87  295.30100  +40.19275
009003  13.750   0.535   0.319   0.639  13.794   0.540  13.771   0.534  99.999  99.999  12.458   0.842   609  109  295.32087  +40.17633
011003  14.470   1.116   0.636   1.220  14.490   1.121  14.483   1.141  14.497   1.133  12.358   0.706   281  999  295.31667  +40.21447
012003  14.596   0.733   0.424   0.834  14.636   0.728  14.558   0.738  14.601   0.747  13.083   0.320   607  999  295.33104  +40.17392
013003  14.602   0.587   0.341   0.711  14.647   0.583  14.616   0.595  14.654   0.602  13.391   0.265   423  999  295.30062  +40.19017
014003  14.814   0.435   0.203   0.440  14.855   0.423  14.833   0.423  14.863   0.420  13.959  99.999   543  999  295.31762  +40.17436
015003  14.888   0.635   0.357   0.737  14.920   0.624  14.887   0.632  14.927   0.641  13.536   0.352   329  999  295.30221  +40.20811
016003  14.885   0.628   0.341   0.745  14.936   0.627  14.926   0.619  99.999  99.999  13.181   0.240   327  999  295.29921  +40.20550
017003  14.976   0.633   0.323   0.727  15.017   0.626  14.970   0.623  15.030   0.607  13.713   0.304   554  999  295.33675  +40.17939
019003  15.042   0.719   0.411   0.791  15.054   0.748  15.048   0.757  15.076   0.732  13.656   0.343  9999  999  295.30896  +40.21450
020003  15.039   0.610   0.373   0.736  15.063   0.611  15.035   0.614  15.079   0.608  13.797   0.378   384  999  295.35375  +40.20094
021003  15.094   0.602   0.323   0.706  15.142   0.589  15.105   0.598  15.148   0.593  13.863   0.388   470  999  295.34554  +40.18825
022003  99.999  99.999   0.358   0.780  15.189   0.607  14.994   0.518  99.999  99.999  13.444   0.250   537  999  295.30025  +40.18344
025003  15.279   0.577   0.320   0.676  15.316   0.576  15.292   0.571  15.318   0.578  14.152   0.267   471  999  295.34337  +40.18622
026003  15.282   0.581   0.326   0.667  15.320   0.578  15.289   0.577  15.307   0.587  14.118   0.275   557  999  295.34437  +40.18397
027003  99.999  99.999  99.999  99.999  99.999  99.999  14.354   0.634  14.691   0.507  13.125   0.328   385  999  295.34950  +40.20008
044003  16.036   0.665   0.370   0.761  15.997   0.792  15.923   0.702  16.045   0.652  14.406   0.369   544  999  295.31633  +40.17575
055003  16.333   0.692   0.384   0.820  16.351   0.681  16.354   0.685  16.378   0.688  14.926   0.451   282  999  295.31425  +40.21608
059003  16.377   0.686   0.362   0.800  16.426   0.659  16.411   0.667  16.432   0.670  15.035   0.300   535  999  295.30275  +40.17989
001004  99.999  99.999  99.999  99.999  12.266   1.372  12.243   1.382  99.999  99.999   9.851   0.808   975  141  295.36079  +40.19494
002004  99.999  99.999  99.999  99.999  12.663   1.316  12.650   1.323  99.999  99.999  10.323   0.772   977  145  295.36283  +40.20786
003004  13.214   1.238   0.641   1.240  13.253   1.212  13.245   1.227  99.999  99.999  11.062   0.704   616   98  295.31517  +40.16961
004004  13.953   0.501   0.261   0.572  13.990   0.506  13.969   0.494  14.011   0.483  12.933   0.150   600  129  295.33925  +40.16739
005004  14.196   1.119   0.572   1.148  14.233   1.101  14.234   1.124  14.243   1.104  12.218   0.645   227   77  295.29187  +40.21897
006004  14.358   0.644   0.366   0.754  14.389   0.629  14.380   0.651  14.404   0.649  13.073   0.277   285   88  295.30175  +40.21717
007004  14.462   0.617   0.351   0.758  14.490   0.622  14.475   0.604  14.502   0.625  13.054   0.229   619  999  295.30958  +40.17000
008004  14.527   0.708   0.450   0.866  14.515   0.719  14.463   0.752  14.525   0.737  13.004   0.452   563  999  295.35400  +40.17922
009004  14.770   0.660   0.375   0.769  14.797   0.660  14.796   0.657  14.814   0.669  13.484   0.313   406  999  295.28029  +40.19814
010004  14.808   0.666   0.397   0.796  14.823   0.668  14.821   0.683  14.841   0.676  13.482   0.389   533  999  295.29912  +40.17331
011004  14.832   0.896   0.508   1.010  14.864   0.902  14.843   0.913  14.868   0.896  13.078   0.501   606  999  295.33462  +40.16989
012004  14.831   0.666   0.379   0.804  14.872   0.679  14.851   0.674  14.884   0.668  13.246   0.269   605  999  295.33433  +40.16856
013004  14.836   0.659   0.380   0.758  14.895   0.628  14.863   0.661  14.891   0.659  13.506   0.317   486  999  295.28271  +40.18597
014004  14.895   0.664   0.379   0.764  14.919   0.663  14.897   0.665  14.935   0.656  13.539   0.290   383  999  295.35979  +40.20392
015004  14.951   0.659   0.352   0.764  14.977   0.660  14.964   0.652  14.990   0.650  13.673   0.356   562  999  295.35112  +40.17872
016004  15.008   0.661   0.398   0.794  15.035   0.671  14.989   0.678  99.999  99.999  99.999  99.999   610  999  295.32404  +40.17047
017004  15.000   0.616   0.340   0.723  15.035   0.600  15.021   0.613  15.047   0.596  13.818   0.286   273  999  295.33612  +40.22108
018004  15.049   0.629   0.351   0.752  15.069   0.628  14.974   0.732  99.999  99.999  13.293   0.320   235  999  295.31404  +40.22489
