# WOCS    Vmag     BmV     VmR     VmI    Vmag1   BmV1    Vmag2   BmV2    Vmag3   BmV3    Jmag    JmKs    A74  S72     _RA        _DE   
015007  14.837   1.463   0.785   1.471  14.837   1.439  14.824   1.463  14.866   1.429  12.252   0.902   696  999  295.36533  +40.15408
016007  14.841   0.630   0.338   0.761  14.868   0.627  14.878   0.620  14.887   0.648  13.600   0.322   220  999  295.25708  +40.21606
017007  99.999  99.999  99.999  99.999  99.999  99.999  14.929   0.671  15.258   0.574  13.542   0.344    49  999  295.31333  +40.25275
018007  14.923   0.647   0.365   0.799  14.934   0.663  14.927   0.674  14.951   0.667  13.584   0.351   784  999  295.33454  +40.14036
019007  14.958   0.635   0.368   0.755  14.969   0.630  14.951   0.634  14.978   0.643  13.645   0.305    50  999  295.31442  +40.25336
020007  14.942   0.626   0.335   0.737  14.978   0.618  14.994   0.621  15.001   0.624  13.773   0.268   516  999  295.26050  +40.17192
021007  14.977   0.626   0.388   0.752  14.983   0.631  14.965   0.636  15.015   0.632  13.669   0.317   571  999  295.38917  +40.17681
022007  14.983   0.652   0.378   0.795  14.993   0.658  14.993   0.662  15.022   0.668  13.664   0.356    51  999  295.32429  +40.25322
023007  15.057   0.657   0.381   0.775  15.063   0.656  15.079   0.640  15.093   0.673  13.703   0.375    47  999  295.30567  +40.25186
024007  15.091   0.632   0.342   0.759  15.094   0.616  15.090   0.623  15.123   0.605  13.812   0.310   159  999  295.35904  +40.24350
026007  15.220   0.607   0.369   0.764  15.205   0.627  15.214   0.621  15.245   0.621  13.899   0.375    48  999  295.31146  +40.25289
027007  15.196   0.626   0.357   0.728  15.213   0.611  15.205   0.617  15.242   0.604  13.930   0.304   448  999  295.39300  +40.18939
029007  15.356   0.709   0.375   0.826  15.364   0.702  15.356   0.728  15.382   0.700  14.013   0.452   245  999  295.38054  +40.22744
030007  15.431   1.027   0.603   1.130  15.437   1.045  15.426   1.064  15.453   1.034  13.571   0.602   783  999  295.33329  +40.14072
031007  15.451   0.618   0.353   0.737  15.460   0.612  99.999  99.999  15.487   0.609  13.947   0.314  9999  999  295.37329  +40.16058
033007  15.509   0.591   0.329   0.716  15.526   0.580  15.540   0.592  15.559   0.587  14.324   0.317   142  999  295.26987  +40.23281
034007  15.519   0.566   0.328   0.689  15.529   0.585  15.541   0.582  15.568   0.574  14.392   0.333   515  999  295.25525  +40.17092
035007  15.539   0.595   0.350   0.708  15.554   0.583  15.554   0.603  15.578   0.599  14.343   0.340   145  999  295.28546  +40.23792
036007  15.556   0.597   0.347   0.718  15.581   0.608  15.583   0.620  15.608   0.603  14.313   0.475   775  999  295.31812  +40.13878
037007  15.583   0.627   0.351   0.757  15.586   0.628  15.575   0.645  15.598   0.643  14.052   0.323   460  999  295.38929  +40.18517
039007  15.617   0.567   0.334   0.703  15.636   0.575  15.638   0.575  99.999  99.999  14.478   0.392   497  999  295.25075  +40.18164
040007  15.658   0.657   0.411   0.821  15.640   0.679  15.637   0.676  15.674   0.676  14.204   0.348   259  999  295.39137  +40.21675
042007  15.679   0.661   0.377   0.789  15.701   0.654  15.696   0.677  15.726   0.654  14.347   0.313   780  999  295.31696  +40.14211
043007  15.722   0.675   0.387   0.799  15.730   0.669  15.707   0.699  15.753   0.669  14.319   0.221   261  999  295.37917  +40.22408
044007  15.713   0.603   0.340   0.716  15.736   0.595  15.746   0.592  15.760   0.599  14.528   0.401   517  999  295.26296  +40.17550
045007  15.796   0.621   0.334   0.741  15.805   0.615  15.820   0.598  15.841   0.622  14.607   0.358    90  999  295.28083  +40.24469
046007  15.792   0.599   0.334   0.713  15.816   0.582  15.824   0.579  15.854   0.585  14.622   0.261   496  999  295.25800  +40.18108
047007  15.791   0.666   0.363   0.779  15.818   0.649  15.832   0.646  15.837   0.674  14.488   0.362   194  999  295.26558  +40.22531
049007  15.836   0.624   0.356   0.755  15.836   0.639  15.825   0.630  15.873   0.625  14.550   0.268   584  999  295.38312  +40.16400
052007  15.885   0.767   0.431   0.902  15.899   0.778  15.911   0.793  15.925   0.782  14.421   0.470   668  999  295.27421  +40.15625
055007  15.927   0.684   0.402   0.818  15.923   0.708  15.925   0.710  15.959   0.694  14.533   0.366   260  999  295.38100  +40.22433
056007  15.930   0.685   0.381   0.790  15.928   0.674  15.918   0.683  15.977   0.657  14.590   0.376   160  999  295.36071  +40.24231
061007  15.966   0.614   0.346   0.732  15.971   0.618  15.985   0.626  16.004   0.621  14.744   0.319   100  999  295.27850  +40.24378
062007  15.984   0.618   0.341   0.740  15.991   0.619  15.982   0.637  16.031   0.611  14.721   0.253   374  999  295.39175  +40.19775
064007  16.066   0.746   0.403   0.831  16.073   0.726  15.953   0.755  16.076   0.737  14.470   0.344  9999  999  295.39137  +40.18081
065007  16.066   0.616   0.367   0.741  16.075   0.626  16.045   0.648  16.093   0.632  14.821   0.312   721  999  295.36600  +40.14878
066007  16.108   0.605   0.352   0.744  16.115   0.602  16.112   0.602  16.149   0.605  14.896   0.310   447  999  295.39396  +40.19106
068007  16.222   0.754   0.433   0.888  16.207   0.785  16.209   0.785  16.253   0.758  14.684   0.420   258  999  295.39096  +40.22097
070007  16.288   0.642   0.369   0.782  16.289   0.643  16.281   0.668  16.321   0.649  14.871   0.352   360  999  295.39250  +40.20317
071007  16.302   0.707   0.400   0.862  16.299   0.697  16.283   0.723  16.344   0.685  14.842   0.288   161  999  295.36975  +40.24050
076007  16.420   0.764   0.435   0.873  16.433   0.765  16.442   0.772  16.457   0.782  14.972   0.355   146  999  295.29037  +40.24058
077007  16.466   0.669   0.392   0.801  16.460   0.672  16.457   0.681  16.487   0.678  13.847   0.226  9999  999  295.37304  +40.15272
002008  99.999  99.999  99.999  99.999  11.749   1.615  11.750   1.626  99.999  99.999   8.890   0.986   968  152  295.37629  +40.15014
003008  99.999  99.999  99.999  99.999  12.480   1.045  12.492   1.051  99.999  99.999  10.586   0.606   103  999  295.26950  +40.24761
004008  13.297   1.103   0.565   1.133  13.309   1.098  13.320   1.104  99.999  99.999  11.316   0.677   991   70  295.28417  +40.25239
005008  14.154   0.588   0.345   0.683  14.182   0.608  14.188   0.597  14.202   0.607  12.971   0.282   418   48  295.24300  +40.18886
006008  14.499   0.459   0.213   0.518  14.494   0.457  14.500   0.453  14.521   0.447  13.571   0.233    58  132  295.34754  +40.25464
007008  14.549   0.696   0.402   0.837  14.573   0.698  14.566   0.694  14.600   0.685  13.162   0.361   812  999  295.34054  +40.13456
008008  14.595   0.675   0.382   0.778  14.598   0.685  14.584   0.688  14.623   0.663  13.315   0.434   176  999  295.38242  +40.23739
009008  14.647   0.662   0.370   0.731  14.644   0.667  14.647   0.667  14.677   0.638  13.433   0.365    52  999  295.32900  +40.25494
010008  14.668   0.798   0.433   0.858  14.689   0.794  14.701   0.809  14.712   0.803  13.223   0.339   639  999  295.25125  +40.16319
012008  15.083   0.733   0.419   0.842  15.084   0.743  15.086   0.739  15.109   0.737  13.694   0.391    88  999  295.28696  +40.25017
013008  15.043   0.779   0.385   0.798  15.086   0.751  15.090   0.766  15.102   0.766  13.734   0.359   819  999  295.30529  +40.13222
014008  15.069   0.610   0.339   0.739  15.086   0.610  15.072   0.609  15.113   0.600  13.808   0.275    56  999  295.33596  +40.26100
015008  15.123   0.609   0.356   0.754  15.118   0.614  15.118   0.628  15.145   0.611  13.849   0.265    59  999  295.34496  +40.25561
016008  15.137   0.668   0.380   0.792  15.133   0.663  15.143   0.667  15.156   0.663  13.810   0.377    57  999  295.33612  +40.25392
017008  15.147   0.634   0.366   0.798  15.136   0.633  15.117   0.648  15.167   0.635  13.834   0.295   449  999  295.40887  +40.19128
018008  15.149   0.638   0.388   0.766  15.152   0.656  15.161   0.643  15.188   0.639  13.822   0.316   811  999  295.34892  +40.13367
019008  15.157   0.618   0.362   0.760  15.164   0.621  15.035   0.607  15.166   0.633  13.663   0.339    13  999  295.31633  +40.26269
020008  15.193   0.622   0.344   0.755  15.200   0.614  15.200   0.613  15.237   0.598  13.918   0.447   163  999  295.37683  +40.24572
021008  15.221   0.626   0.354   0.751  15.224   0.636  15.215   0.637  15.254   0.620  13.985   0.324   175  999  295.38967  +40.23911
022008  15.215   0.623   0.379   0.758  15.235   0.642  15.241   0.644  15.255   0.636  13.982   0.315   772  999  295.29171  +40.13717
025008  15.363   0.606   0.347   0.747  15.379   0.582  15.351   0.599  15.408   0.584  99.999  99.999   572  999  295.39946  +40.17433
030008  15.509   0.582   0.334   0.715  15.509   0.595  15.496   0.590  15.530   0.588  14.292   0.358   165  999  295.38233  +40.24197
031008  15.503   0.605   0.335   0.732  15.519   0.600  15.505   0.600  15.552   0.586  14.251   0.279   730  999  295.36125  +40.14542
035008  15.593   0.600   0.333   0.717  15.609   0.594  15.611   0.610  99.999  99.999  14.374   0.272  9999  999  295.30796  +40.25842
036008  15.669   0.731   0.444   0.838  15.673   0.752  15.679   0.761  15.710   0.753  14.301   0.362   514  999  295.24462  +40.17700
038008  15.687   0.669   0.379   0.806  15.687   0.657  15.677   0.667  99.999  99.999  14.405   0.352   457  999  295.39754  +40.18206
043008  15.824   0.538   0.328   0.688  99.999  99.999  15.806   0.509  15.854   0.548  14.525   0.089   141  999  295.25233  +40.22878
044008  15.798   0.622   0.378   0.763  15.816   0.641  99.999  99.999  15.801   0.623  13.942   0.313    43  999  295.29433  +40.25603
045008  15.840   0.599   0.366   0.777  15.832   0.622  15.831   0.621  15.865   0.621  14.483   0.289   787  999  295.35642  +40.14042
046008  15.915   0.612   0.358   0.731  15.908   0.630  99.999  99.999  15.954   0.623  14.639   0.359   296  999  295.24537  +40.20500
050008  16.027   0.646   0.361   0.764  16.030   0.643  16.021   0.651  16.080   0.619  14.740   0.815   361  999  295.39929  +40.20542
058008  16.202   0.629   0.361   0.770  16.186   0.651  16.195   0.678  16.231   0.633  14.860   0.484   247  999  295.39300  +40.22975
060008  16.203   0.660   0.380   0.817  16.198   0.653  16.151   0.684  16.235   0.654  14.746   1.788   582  999  295.39067  +40.15950
064008  16.241   0.670   0.360   0.794  16.247   0.684  16.246   0.696  16.290   0.653  14.931   0.307   177  999  295.37675  +40.23792
068008  16.333   0.676   0.360   0.776  16.364   0.660  16.374   0.671  16.385   0.668  14.969   0.122   820  999  295.29379  +40.13506
069008  16.384   0.681   0.406   0.821  16.371   0.683  16.356   0.691  16.415   0.676  14.962   0.455   718  999  295.37350  +40.14800
070008  16.378   0.659   0.391   0.815  16.376   0.671  99.999  99.999  16.408   0.686  14.944   0.456   318  999  295.24592  +40.20250
072008  16.397   0.673   0.386   0.819  16.412   0.675  16.422   0.694  16.442   0.671  14.976   0.326  9999  999  295.26950  +40.24222
073008  16.434   0.686   0.384   0.789  16.441   0.698  16.436   0.702  16.482   0.669  15.079   0.316    54  999  295.33162  +40.25903
002009  99.999  99.999  99.999  99.999  12.508   1.829  12.509   1.846  99.999  99.999   8.901   1.182   809  137  295.35379  +40.12889
003009  99.999  99.999  99.999  99.999  12.915   1.195  12.929   1.200  99.999  99.999  10.804   0.723   983   75  295.29129  +40.26378
004009  99.999  99.999  99.999  99.999  12.982   1.192  12.985   1.202  99.999  99.999  10.867   0.767    80  151  295.37612  +40.25603
005009  99.999  99.999  99.999  99.999  13.004   1.252  13.026   1.271  99.999  99.999  10.775   0.722   139   44  295.24104  +40.23142
006009  13.139   1.215   0.623   1.212  13.145   1.191  13.148   1.191  99.999  99.999  11.005   0.682   715  158  295.39350  +40.14614
007009  13.296   1.229   0.648   1.252  13.319   1.217  13.351   1.444  99.999  99.999  11.155   0.713   510   43  295.23767  +40.16856
008009  13.366   0.576   0.324   0.670  13.376   0.579  13.377   0.580  99.999  99.999  12.236   0.291   992   92  295.30825  +40.26386
009009  14.496   0.681   0.384   0.799  14.509   0.691  14.527   0.691  14.541   0.699  13.138   0.344   417   41  295.23167  +40.19089
010009  14.572   0.746   0.398   0.805  14.578   0.754  14.573   0.752  14.571   0.733  99.999  99.999  9999  999  295.37554  +40.25661
011009  14.580   0.805   0.420   0.903  14.584   0.816  14.576   0.816  14.613   0.798  13.079   0.495   250  999  295.40258  +40.23519
012009  14.642   1.321   0.676   1.332  14.668   1.294  14.678   1.320  14.682   1.309  12.372   0.784   755  999  295.25837  +40.14458
013009  14.697   0.601   0.344   0.730  14.715   0.592  14.736   0.597  14.742   0.592  13.510   0.257   664  999  295.24183  +40.15522
014009  14.806   0.673   0.392   0.793  14.809   0.674  14.791   0.700  14.841   0.672  13.464   0.390   788  999  295.37187  +40.13322
015009  14.793   1.324   0.643   1.275  14.809   1.293  14.828   1.298  14.820   1.272  12.587   0.704   104   62  295.25783  +40.25033
016009  14.799   0.520   0.273   0.620  14.815   0.527  14.835   0.524  14.819   0.506  13.703   0.285   753  999  295.26462  +40.14517
017009  14.895   0.669   0.378   0.793  14.903   0.670  14.906   0.679  14.924   0.684  13.570   0.317    12  999  295.31775  +40.26519
018009  14.918   0.654   0.346   0.785  14.926   0.639  14.920   0.636  14.954   0.641  13.627   0.360    82  999  295.37225  +40.25336
019009  14.919   0.613   0.344   0.738  14.939   0.616  99.999  99.999  14.973   0.619  13.697   0.318   298  999  295.23183  +40.20461
020009  14.987   1.154   0.623   1.202  14.994   1.148  15.018   1.444  15.024   1.149  12.871   0.675   640  999  295.24112  +40.16153
021009  15.065   0.645   0.348   0.753  15.089   0.634  15.094   0.636  15.111   0.636  13.770   0.270   822  999  295.28108  +40.13286
022009  15.150   0.633   0.386   0.795  15.141   0.637  15.093   0.641  99.999  99.999  99.999  99.999   580  999  295.40537  +40.16406
023009  15.099   0.615   0.364   0.755  15.108   0.616  15.119   0.613  15.130   0.632  13.834   0.278   851  999  295.32021  +40.12431
024009  15.153   0.661   0.371   0.772  15.171   0.653  15.190   0.660  15.214   0.661  13.841   0.221   665  999  295.24096  +40.15761
025009  15.182   0.616   0.323   0.734  15.183   0.621  15.168   0.616  15.209   0.619  13.999   0.417   249  999  295.39667  +40.23639
026009  15.194   0.598   0.342   0.737  15.204   0.594  15.222   0.587  15.222   0.613  13.964   0.316   107  999  295.24467  +40.23819
028009  15.245   0.593   0.347   0.722  15.255   0.603  15.270   0.599  15.287   0.590  14.009   0.222   846  999  295.28775  +40.12719
030009  15.322   0.617   0.337   0.735  15.323   0.611  15.327   0.604  15.335   0.618  14.092   0.217     8  999  295.34629  +40.26692
034009  15.591   0.595   0.322   0.726  15.607   0.594  15.619   0.609  15.635   0.596  14.430   0.249   756  999  295.25100  +40.14544
037009  15.615   0.654   0.369   0.784  15.632   0.641  15.620   0.657  15.658   0.646  14.140   0.384   810  999  295.35108  +40.12992
038009  15.746   0.609   0.329   0.735  15.744   0.607  15.756   0.597  15.778   0.598  14.493   0.358    63  999  295.36725  +40.26006
039009  15.782   0.626   0.355   0.745  15.772   0.618  15.762   0.632  15.804   0.618  14.513   0.311   454  999  295.40850  +40.18056
040009  15.757   0.669   0.387   0.818  15.774   0.667  15.796   0.666  15.795   0.681  14.393   0.412   641  999  295.23787  +40.15986
041009  15.787   0.517   0.281   0.658  15.808   0.502  99.999  99.999  15.827   0.516  14.721   0.230   219  999  295.23371  +40.21128
043009  15.847   0.651   0.330   0.716  15.893   0.634  15.865   0.624  15.910   0.603  14.626   0.367   771  999  295.27296  +40.14122
044009  15.897   0.785   0.429   0.870  15.911   0.769  15.939   0.743  15.943   0.770  14.380   0.645   140  999  295.24129  +40.23375
048009  15.913   0.625   0.362   0.750  15.932   0.629  15.934   0.636  99.999  99.999  14.683   0.384   852  999  295.32696  +40.12444
049009  15.940   0.679   0.369   0.817  15.950   0.669  15.943   0.687  15.981   0.674  14.553   0.356    83  999  295.37458  +40.25131
051009  16.081   0.639   0.338   0.804  16.078   0.616  16.028   0.647  99.999  99.999  99.999  99.999   579  999  295.40946  +40.16311
054009  16.109   0.670   0.345   0.755  16.150   0.642  16.156   0.653  16.176   0.642  14.846   0.485   848  999  295.29729  +40.12600
055009  16.175   0.661   0.370   0.788  16.165   0.664  16.161   0.657  16.210   0.640  14.808   0.372   362  999  295.40975  +40.20883
057009  16.231   0.658   0.368   0.757  16.255   0.642  16.278   0.635  16.284   0.661  15.079   0.279   511  999  295.23625  +40.17111
058009  16.285   0.640   0.370   0.766  16.288   0.643  16.302   0.653  16.321   0.621  15.059   0.438  9999  999  295.32979  +40.27067
059009  16.332   0.657   0.417   0.878  16.313   0.685  16.295   0.711  16.346   0.686  14.944   0.446   806  999  295.36733  +40.13094
060009  16.305   0.775   0.379   0.738  16.340   0.745  16.370   0.758  16.413   0.727  14.889   0.214    41  999  295.27900  +40.25775
063009  16.467   0.648   0.383   0.786  16.455   0.682  16.475   0.691  16.502   0.661  15.148   0.415   105  999  295.24887  +40.24267
064009  16.467   0.668   0.381   0.782  16.460   0.680  16.450   0.686  16.506   0.665  15.159   0.374   363  999  295.41054  +40.20675
002010  99.999  99.999  99.999  99.999  13.030   1.664  13.005   1.681  99.999  99.999   9.975   1.054   986  167  295.42067  +40.22389
003010  13.065   0.499   0.287   0.591  13.085   0.491  99.999  99.999  99.999  99.999  12.047   0.244   300   32  295.21571  +40.20442
004010  13.220   1.279   0.646   1.200  13.228   1.241  13.224   1.244  99.999  99.999  10.998   0.742   700  163  295.40346  +40.15086
005010  99.999  99.999  99.999  99.999  13.241   1.587  13.228   1.595  99.999  99.999  10.334   0.992   574  172  295.42854  +40.17669
006010  13.477   1.427   0.726   1.430  13.479   1.383  13.459   1.399  99.999  99.999  10.977   0.831   993  166  295.42046  +40.18672
007010  13.817   0.918   0.484   0.969  13.839   0.912  13.872   0.924  99.999  99.999  12.179   0.502   663   40  295.23325  +40.15169
008010  13.952   1.161   0.610   1.168  13.964   1.147  99.999  99.999  99.999  99.999  11.912   0.663   506   36  295.22308  +40.16733
009010  14.057   1.105   0.591   1.154  14.071   1.107  99.999  99.999  14.098   1.097  12.072   0.646   138   39  295.23337  +40.22767
010010  14.199   0.587   0.327   0.715  14.207   0.570  14.228   0.569  14.228   0.594  13.017   0.273    37   53  295.25662  +40.25750
011010  14.539   0.636   0.378   0.785  14.542   0.652  14.546   0.656  14.561   0.662  13.207   0.361   847  999  295.29150  +40.12456
012010  14.591   1.428   0.737   1.435  14.592   1.392  14.581   1.415  14.617   1.394  12.093   0.825   701  164  295.40946  +40.15483
013010  14.707   0.598   0.344   0.721  14.724   0.601  99.999  99.999  14.750   0.614  13.503   0.295   315  999  295.22433  +40.19761
014010  14.819   0.613   0.340   0.718  14.836   0.606  14.852   0.601  14.861   0.621  13.618   0.348    36  999  295.25792  +40.25947
015010  14.967   0.622   0.364   0.770  14.954   0.632  14.950   0.629  14.993   0.614  13.664   0.395   173  999  295.40454  +40.23942
016010  14.984   0.712   0.388   0.791  14.987   0.719  14.992   0.718  15.015   0.705  13.650   0.427    64  999  295.37967  +40.26139
017010  14.959   0.653   0.385   0.780  14.989   0.655  14.984   0.671  99.999  99.999  13.703   0.395   872  999  295.32617  +40.11783
019010  99.999  99.999  99.999  99.999  99.999  99.999  15.062   0.633  15.097   0.653  13.826   0.308   416  999  295.22300  +40.18364
020010  15.091   0.597   0.334   0.712  15.103   0.588  99.999  99.999  15.135   0.597  13.896   0.354   136  999  295.22817  +40.23483
021010  15.105   0.811   0.413   0.848  15.123   0.811  99.999  99.999  15.146   0.812  13.693   0.392   196  999  295.22762  +40.21817
022010  15.200   0.647   0.355   0.760  15.198   0.649  15.208   0.646  15.226   0.633  13.948   0.343  9999  999  295.33154  +40.27114
024010  15.200   0.616   0.325   0.719  15.224   0.605  15.242   0.630  15.254   0.598  14.013   0.313   825  999  295.26375  +40.12661
025010  15.252   0.612   0.357   0.754  15.250   0.608  15.238   0.617  15.276   0.621  13.941   0.405   172  999  295.40700  +40.24239
026010  15.243   0.727   0.381   0.811  15.253   0.712  15.271   0.712  15.269   0.725  13.838   0.280  9999  999  295.29896  +40.27733
027010  15.393   0.752   0.414   0.851  15.392   0.750  15.417   0.731  15.412   0.755  13.950   0.432  9999  999  295.32146  +40.27750
028010  15.407   1.356   0.677   1.353  15.420   1.343  15.440   1.356  15.443   1.343  13.107   0.815   828  999  295.25687  +40.13103
030010  15.459   0.587   0.326   0.694  15.483   0.578  15.502   0.582  15.510   0.585  14.347   0.230   508  999  295.22792  +40.16914
032010  15.530   0.692   0.409   0.835  15.524   0.692  15.539   0.679  99.999  99.999  99.999  99.999   714  999  295.39787  +40.14297
034010  15.555   0.566   0.331   0.723  15.564   0.605  15.492   0.628  15.570   0.585  14.272   0.351   873  999  295.31571  +40.11856
035010  15.590   0.571   0.350   0.731  15.601   0.594  15.580   0.626  15.626   0.596  14.278   0.236   871  999  295.33417  +40.11750
036010  15.710   0.696   0.376   0.787  15.718   0.691  15.741   0.699  15.750   0.691  14.450   0.317   109  999  295.23571  +40.24533
037010  15.782   0.610   0.338   0.719  15.775   0.611  15.798   0.600  15.809   0.599  14.516   0.296  9999  999  295.35996  +40.27197
039010  15.830   0.616   0.322   0.727  15.836   0.598  15.855   0.613  15.859   0.616  14.649   0.268    17  999  295.27358  +40.26706
040010  15.899   0.649   0.349   0.775  15.901   0.621  15.896   0.620  15.940   0.624  14.602   0.175   702  999  295.41221  +40.15456
041010  15.917   0.780   0.385   0.881  15.913   0.717  15.861   0.738  15.973   0.720  14.408   0.508   804  999  295.37104  +40.12661
043010  15.931   0.665   0.352   0.770  15.936   0.620  15.917   0.641  15.964   0.635  14.707   0.325   801  999  295.38162  +40.12903
047010  16.072   0.647   0.341   0.748  16.104   0.629  16.112   0.643  16.115   0.650  14.850   0.196   879   80  295.29133  +40.11936
051010  16.133   0.613   0.348   0.730  16.131   0.621  99.999  99.999  16.174   0.625  14.869   0.378   216  999  295.22083  +40.21172
052010  16.161   0.768   0.405   0.840  16.162   0.761  16.160   0.767  16.193   0.745  14.717   0.496     6  999  295.35742  +40.26867
053010  16.146   0.738   0.400   0.820  16.163   0.735  99.999  99.999  16.192   0.726  14.812   0.331   314  999  295.21692  +40.19928
056010  16.259   0.669   0.368   0.783  16.241   0.669  16.238   0.677  16.287   0.659  14.884   0.311   802  999  295.37896  +40.12744
059010  15.929   0.798   0.414   0.925  99.999  99.999  99.999  99.999  15.695   0.767  13.574   0.412   824  999  295.27683  +40.12997
060010  16.306   0.627   0.393   0.787  16.282   0.639  16.278   0.644  16.329   0.637  14.931   0.286   370  999  295.42783  +40.19869
062010  16.370   0.704   0.380   0.822  16.380   0.692  99.999  99.999  16.422   0.682  14.971   0.198   197  999  295.22283  +40.21858
063010  16.417   0.695   0.404   0.873  16.412   0.703  16.412   0.694  99.999  99.999  14.906   0.455  9999  999  295.32771  +40.27492
064010  16.436   0.718   0.407   0.878  16.425   0.727  16.451   0.711  16.448   0.733  15.002   0.529  9999  999  295.30179  +40.27575
001011  99.999  99.999  99.999  99.999  11.884   0.457  11.870   0.448  99.999  99.999  10.984   0.222   971  179  295.43742  +40.21397
002011  12.837   0.527   0.282   0.602  12.870   0.512  12.926   0.491  99.999  99.999  11.800   0.321   882   66  295.27312  +40.11392
003011  99.999  99.999  99.999  99.999  12.936   1.176  12.971   1.180  99.999  99.999  10.844   0.678   769   45  295.24154  +40.13819
004011  13.085   1.185   0.596   1.207  13.104   1.178  99.999  99.999  99.999  99.999  11.009   0.663   200   30  295.20917  +40.21972
005011  13.287   1.246   0.652   1.307  13.269   1.241  13.283   1.251  99.999  99.999  11.024   0.712  9999  127  295.34262  +40.27894
006011  13.400   1.204   0.599   1.150  13.431   1.152  13.443   1.173  99.999  99.999  11.374   0.682   875  999  295.30492  +40.11161
007011  14.116   0.931   0.512   0.999  14.143   0.914  14.148   0.932  14.170   0.913  12.454   0.555   878  999  295.29337  +40.11483
008011  14.189   0.867   0.429   0.853  14.229   0.865  14.245   0.873  14.250   0.860  12.774   0.419   843   52  295.25617  +40.12050
009011  14.545   0.624   0.332   0.721  14.542   0.605  14.531   0.593  14.581   0.608  13.310   0.341   575  999  295.42983  +40.17794
010011  14.784   0.646   0.379   0.782  14.777   0.650  14.815   0.638  14.799   0.674  13.484   0.362  9999  999  295.31150  +40.28375
011011  14.896   0.668   0.375   0.837  14.888   0.660  14.860   0.673  14.916   0.672  13.540   0.383   576  999  295.43608  +40.16733
012011  14.952   0.639   0.366   0.750  14.950   0.625  14.942   0.620  14.975   0.615  13.657   0.374     4  999  295.39246  +40.26597
013011  15.158   0.571   0.336   0.699  15.158   0.587  99.999  99.999  15.179   0.601  14.014   0.314   110  999  295.22317  +40.24108
018011  15.327   0.597   0.355   0.752  15.304   0.607  15.317   0.602  15.326   0.600  14.092   0.322  9999  999  295.36471  +40.27522
019011  15.364   0.789   0.433   0.865  15.354   0.810  15.358   0.807  15.376   0.796  13.940   0.500    67  999  295.40046  +40.26064
020011  15.392   0.752   0.427   0.894  15.384   0.764  15.364   0.779  15.411   0.773  13.878   0.459   713  999  295.40996  +40.14289
021011  15.401   0.568   0.312   0.671  15.410   0.575  15.440   0.554  15.435   0.583  14.290   0.250    20  999  295.23762  +40.26067
022011  15.450   1.183   0.636   1.240  15.430   1.170  15.433   1.191  15.459   1.154  13.251   0.685   252  999  295.42450  +40.23381
023011  15.426   0.542   0.313   0.659  15.435   0.533  99.999  99.999  15.458   0.542  14.302   0.242   757  999  295.22812  +40.14319
024011  15.420   0.732   0.430   0.872  15.442   0.737  15.457   0.754  15.459   0.744  13.970   0.458   877  999  295.29471  +40.11269
025011  15.438   0.616   0.316   0.732  15.442   0.594  15.427   0.591  15.466   0.599  14.241   0.365   704  999  295.42092  +40.15322
026011  15.518   0.572   0.337   0.730  15.495   0.586  15.497   0.584  15.519   0.589  14.297   0.327    69  999  295.40717  +40.26125
027011  15.482   0.598   0.352   0.741  15.499   0.607  15.515   0.628  15.526   0.617  14.250   0.283   826  999  295.25908  +40.12858

028011  15.472   0.917   0.466   0.949  15.505   0.876  15.486   0.896  15.512   0.881  13.927   0.527   870  999  295.34696  +40.11275
029011  15.509   0.594   0.322   0.715  15.530   0.583  15.561   0.579  15.549   0.595  14.257   0.156  9999  999  295.28454  +40.27575
031011  15.688   0.605   0.358   0.756  15.657   0.605  15.647   0.603  99.999  99.999  14.429   0.317   451  999  295.43867  +40.18167
032011  15.745   0.614   0.327   0.717  15.771   0.589  15.785   0.613  15.796   0.614  14.566   0.199   927  999  295.31883  +40.10850
036011  16.002   0.592   0.317   0.721  16.006   0.590  99.999  99.999  16.032   0.613  14.875   0.256   199  999  295.21237  +40.22281
038011  16.030   0.593   0.340   0.703  16.036   0.589  99.999  99.999  16.061   0.608  14.851   0.291   198  999  295.21387  +40.21717
040011  16.092   0.627   0.358   0.773  16.067   0.645  16.117   0.611  16.094   0.646  14.796   0.399  9999  999  295.32408  +40.28619
041011  16.132   0.759   0.416   0.913  16.121   0.750  16.128   0.769  16.148   0.747  14.600   0.373    68  999  295.40346  +40.26358
043011  16.155   0.638   0.373   0.774  16.145   0.627  16.121   0.644  16.183   0.638  14.776   0.040   367  999  295.43717  +40.21028
045011  16.281   0.668   0.348   0.792  16.282   0.637  16.246   0.636  99.999  99.999  99.999  99.999   366  999  295.43400  +40.21247
047011  16.316   0.661   0.356   0.790  16.329   0.657  99.999  99.999  16.369   0.644  15.048   0.485   662  999  295.22650  +40.15214
048011  16.367   0.653   0.375   0.785  16.353   0.643  16.329   0.660  16.383   0.658  15.161   0.517   709  999  295.42629  +40.15206
049011  16.404   0.738   0.393   0.850  16.420   0.715  99.999  99.999  16.447   0.727  14.999   0.450   299  999  295.21304  +40.20669
050011  16.437   0.693   0.376   0.805  16.442   0.689  16.460   0.696  16.476   0.688  15.112   0.539   881  999  295.29062  +40.11239
001012  99.999  99.999  99.999  99.999  12.408   0.501  12.394   0.499  99.999  99.999  11.301   0.276  9999  181  295.44483  +40.16731
