!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Models calculated by Jeremy Heyl with Phoenix in March 2018; low T and high g various Z
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (characteristic of CCDs)
!
! HST ACS/WFC3 Bands / HST WFC3 Bands /  Johnson Bands / JWST NIRCAM Bands / GAIA / PanSTARRS / 2MASS
!
!                 1                 2                 3                 4                 5                 6                 7                 8                 9                10                11                12                13                14                15                16                17                18                19                20                21                22                23                24                25                26                27                28                29                30                31                32                33                34                35                36                37                38                39                40                41                42                43                44                45                46                47                48                49                50                51                52                53                54                55                56                57                58                59                60                61                62                63                64                65                66                67                68                69                70                71                72                73                74                75                76                77                78                79                80                81                82
!              Teff              Logg             [M/H]             [a/H]         LambdaMax             F435W             F475W             F555W             F606W             F625W             F775W             F814W            F200LP             F218W             F225W             F275W             F300X             F336W             F390W             F438W             F475W             F475X             F555W            F600LP             F606W             F625W             F775W             F814W             F105W             F110W             F125W             F140W             F160W                 U                 B                 V                 R                 I                 J                 H                 K         F070W_NRC         F090W_NRC         F115W_NRC         F140M_NRC        F150W2_NRC         F150W_NRC         F162M_NRC         F164N_NRC         F182M_NRC         F187N_NRC         F200W_NRC         F210M_NRC         F212N_NRC         F250M_NRC         F277W_NRC         F300M_NRC        F322W2_NRC         F323N_NRC         F335M_NRC         F356W_NRC         F360M_NRC         F405N_NRC         F410M_NRC         F430M_NRC         F444W_NRC         F460M_NRC         F466N_NRC         F470N_NRC         F480M_NRC     GAIA_GAIA2r.G   GAIA_GAIA2r.Gbp   GAIA_GAIA2r.Grp  PAN-STARRS-PS1.g  PAN-STARRS-PS1.i  PAN-STARRS-PS1.r  PAN-STARRS-PS1.w  PAN-STARRS-PS1.y  PAN-STARRS-PS1.z     2MASS_2MASS.H     2MASS_2MASS.J    2MASS_2MASS.Ks
           1700.00              4.50             -0.50              0.20       9.99500e+06      -19.06868143      -21.15975059      -23.01182424      -25.41969497      -25.90590463      -29.01638272      -30.11162392      -28.27843541      -19.50398110      -20.77950459      -19.69360204      -20.01834091      -16.49118098      -16.99453659      -18.49401786      -21.21658188      -22.84290070      -23.48671188      -29.79617996      -25.33497050      -25.79865177      -28.92416319      -30.15473559      -33.37681084      -34.09096416      -34.61827037      -34.90848205      -35.34249687      -15.24262142      -19.59347577      -23.46309634      -27.94139251      -31.44387527      -34.45632977      -35.76799810      -36.35536485      -27.67033055      -31.60809923      -34.25204029      -34.41764541      -35.35046385      -35.16204375      -35.90568931      -36.10240174      -35.70647421      -35.64987645      -36.02675149      -36.31660411      -36.45017125      -36.47576272      -36.65994530      -36.87295923      -37.16408774      -37.20131817      -37.36691775      -37.59721974      -37.68461228      -37.93189007      -37.87889213      -37.73415752      -37.79603133      -37.66402107      -37.71183613      -37.70338428      -37.73625928      -28.98011977      -24.72668669      -31.47923261      -29.93024475      -30.40322103      -29.97512331      -28.89153289      -33.09208524      -31.56605373      -35.81999826      -34.75769696      -36.48242188
           1700.00              5.50             -0.50              0.20       9.99500e+06      -19.38887721      -21.46088855      -23.31048325      -25.64059566      -26.12557918      -29.05773585      -30.13523906      -28.29427752      -19.50973451      -20.79358897      -19.69167770      -20.03254940      -16.57771811      -17.42694679      -18.86739690      -21.52955577      -23.11149510      -23.74642606      -29.81095294      -25.55677004      -26.01846859      -28.96453164      -30.18208160      -33.38245427      -34.11710004      -34.66390390      -35.01284281      -35.42463289      -15.73197535      -19.92134361      -23.74388834      -28.02011890      -31.42728637      -34.51082632      -35.78674132      -36.36217890      -27.81619611      -31.62943387      -34.26698721      -34.58554010      -35.37646245      -35.25846152      -35.89776006      -36.03050350      -35.76769942      -35.74466849      -36.06014372      -36.33180458      -36.44643500      -36.53621360      -36.73216865      -36.95294516      -37.24276435      -37.30958638      -37.46776426      -37.68075876      -37.77659264      -37.98890943      -37.93704034      -37.80322011      -37.84052624      -37.68639600      -37.73869120      -37.72990197      -37.76157302      -28.98485558      -24.87283991      -31.51551007      -29.97391750      -30.45259952      -30.02219670      -28.94908787      -33.12616900      -31.56747572      -35.82890893      -34.78642893      -36.45433230
           1800.00              4.50             -0.50              0.20       9.99500e+06      -21.70456263      -23.37540106      -24.58590472      -26.93799698      -27.41761483      -30.57281574      -31.60208537      -29.69984080      -20.93087036      -22.21190454      -21.10844396      -21.45250059      -17.93314728      -19.26976725      -21.13286049      -23.41975142      -24.44585120      -25.07118217      -31.21675274      -26.85542480      -27.31141739      -30.48695614      -31.63774852      -34.45986352      -34.97407692      -35.42757953      -35.55571329      -35.82434235      -17.48067600      -22.10324628      -25.03716544      -29.45421593      -32.77933469      -35.27499744      -36.22929437      -36.58352576      -29.00180552      -33.00341927      -35.17166405      -34.94898746      -35.81846529      -35.65926976      -36.38879904      -36.59009282      -36.00771142      -35.89215578      -36.28693738      -36.56521217      -36.70729991      -36.59067392      -36.74589821      -36.94016765      -37.24096803      -37.27070691      -37.43947455      -37.66948325      -37.75784419      -38.00078556      -37.94655490      -37.79375447      -37.85194062      -37.70575846      -37.75392595      -37.74610628      -37.77723426      -30.47531401      -25.86931123      -32.23671196      -30.15013394      -30.99591473      -30.23737243      -29.48194813      -33.93627260      -32.66146092      -36.28343519      -35.57388393      -36.73547847
           1800.00              5.50             -0.50              0.20       9.99500e+06      -20.60158912      -22.37431847      -24.00177322      -26.40843302      -26.89157449      -29.93491827      -31.08267991      -29.21021193      -20.44281554      -21.73155461      -20.61732679      -20.96425257      -17.37271425      -18.43338710      -20.03229312      -22.43059720      -23.83919843      -24.47710913      -30.72776876      -26.32378631      -26.78443743      -29.83639203      -31.13029776      -34.11163098      -34.71708920      -35.22341205      -35.45823067      -35.77203224      -16.73227562      -21.00637731      -24.44491343      -28.86836614      -32.31035174      -35.06810433      -36.11583189      -36.50578760      -28.47880702      -32.56137842      -34.88934705      -34.94988899      -35.69081001      -35.61401535      -36.24786922      -36.38575070      -35.96242851      -35.90334043      -36.22775498      -36.49345731      -36.61694259      -36.61739096      -36.80047668      -37.00970969      -37.30197453      -37.35978065      -37.52077088      -37.73499926      -37.83157222      -38.04088175      -37.98755365      -37.84586782      -37.88534635      -37.72653368      -37.77734041      -37.76807504      -37.79977890      -29.95632300      -25.39797239      -31.96640411      -30.11800755      -30.74135470      -30.18342715      -29.24146986      -33.66760218      -32.22725799      -36.15977689      -35.35428307      -36.61426648
           1900.00              4.50             -0.50              0.20       9.99500e+06      -22.87947559      -24.48704045      -25.49294052      -27.60383523      -28.06541463      -31.26938945      -32.22269894      -30.28877572      -21.51600566      -22.79729820      -21.68653727      -22.04539053      -18.78618338      -20.39611599      -22.33773577      -24.52870918      -25.28067750      -25.87712520      -31.80426964      -27.52466242      -27.96670996      -31.18999163      -32.25285085      -34.89852295      -35.33979636      -35.75972752      -35.84572630      -36.06858719      -18.75020584      -23.27283949      -25.88397621      -30.13355397      -33.32521399      -35.61760421      -36.46388843      -36.74167340      -29.67483445      -33.56478933      -35.53904207      -35.24384191      -36.06554047      -35.91373957      -36.62379642      -36.81989108      -36.19693041      -36.05085313      -36.45826449      -36.73047858      -36.87628778      -36.66885512      -36.80090430      -36.98320272      -37.30749628      -37.33024822      -37.50764694      -37.74287420      -37.83478029      -38.07570343      -38.01981267      -37.85387483      -37.90563853      -37.73582811      -37.78550116      -37.77971495      -37.80694367      -31.07848195      -26.51858462      -32.66051803      -30.29403906      -31.42583082      -30.41480031      -29.90546084      -34.35657081      -33.19005961      -36.51795944      -35.90018481      -36.90833436
           1900.00              5.00             -0.50              0.20       9.99500e+06      -22.24758823      -23.84711932      -24.97716442      -27.32643252      -27.79936110      -30.96171091      -32.00902456      -30.08657071      -21.32107619      -22.60779083      -21.48952425      -21.84498145      -18.29678196      -19.77595874      -21.65540275      -23.89008994      -24.84041567      -25.46294860      -31.60344882      -27.24397718      -27.69666171      -30.87449135      -32.04650556      -34.75997451      -35.23903355      -35.68654893      -35.81047047      -36.05888477      -18.02032128      -22.62203082      -25.41912006      -29.84564740      -33.13748364      -35.53875830      -36.42573143      -36.68641137      -29.35399854      -33.39596288      -35.43196817      -35.22495188      -36.00579798      -35.90288867      -36.58411567      -36.76127523      -36.15518085      -36.03596259      -36.41527470      -36.68810452      -36.83269873      -36.67031911      -36.82378453      -37.01608384      -37.33137926      -37.36459856      -37.53622418      -37.76747077      -37.86236566      -38.08733472      -38.03241709      -37.86847158      -37.91649988      -37.74351773      -37.79333188      -37.78577231      -37.81542378      -30.86640324      -26.21030173      -32.52498825      -30.27012174      -31.22827739      -30.37366863      -29.71855423      -34.24426491      -33.00017191      -36.47631962      -35.82476856      -36.83651067
           1900.00              5.50             -0.50              0.20       9.99500e+06      -22.04341385      -23.54948433      -24.80890859      -27.24107314      -27.72058459      -30.77659871      -31.89413086      -29.98406329      -21.22274115      -22.51133230      -21.38766603      -21.74480863      -18.16044044      -19.66067379      -21.45302539      -23.59469002      -24.68908884      -25.32077571      -31.50127924      -27.15711469      -27.61362434      -30.68185329      -31.93777960      -34.69902110      -35.20545018      -35.67310556      -35.82526236      -36.06148069      -17.89647947      -22.36345022      -25.25569969      -29.69196572      -33.03956110      -35.52277270      -36.39012190      -36.63740005      -29.22192498      -33.31793063      -35.38961003      -35.26803118      -35.97213307      -35.91207769      -36.53596991      -36.67779062      -36.13718577      -36.04800209      -36.37914932      -36.63847038      -36.76832436      -36.68852102      -36.85764419      -37.05696202      -37.35501487      -37.40862344      -37.57170024      -37.78595131      -37.88295476      -38.08860650      -38.03518560      -37.88750466      -37.92548809      -37.75798396      -37.80851073      -37.79971974      -37.83042483      -30.75496543      -26.09104828      -32.46116308      -30.26488006      -31.12501787      -30.36396448      -29.63071099      -34.20034829      -32.89137865      -36.43497086      -35.80579348      -36.75870151
           2000.00              4.50             -0.50              0.20       9.99500e+06      -22.96943087      -24.61764805      -25.57620844      -27.59759500      -28.04006256      -31.46346342      -32.39594590      -30.44746478      -21.67583882      -22.95890110      -21.84467694      -22.20679391      -19.09362306      -20.32301125      -22.39696698      -24.65621951      -25.32687272      -25.91510400      -31.96329956      -27.51879916      -27.95252585      -31.38592022      -32.42392742      -35.02148525      -35.44456696      -35.85699137      -35.94908746      -36.18351688      -18.89845906      -23.39563472      -25.93755879      -30.30270929      -33.47724377      -35.72027063      -36.57513452      -36.85029031      -29.81830807      -33.72097849      -35.63814523      -35.39317927      -36.17532380      -36.03420960      -36.72832041      -36.91722592      -36.31254719      -36.15199611      -36.56940604      -36.83924776      -36.98590175      -36.72451487      -36.83882461      -37.01346496      -37.36409116      -37.38091619      -37.56852281      -37.81005896      -37.90620721      -38.14602568      -38.08859083      -37.91048172      -37.95448700      -37.76071849      -37.81228487      -37.80879146      -37.83099412      -31.24167049      -26.53313431      -32.79408478      -30.36504824      -31.57645883      -30.47649676      -30.04086109      -34.48546100      -33.34184661      -36.62846060      -35.98954353      -37.02502769
           2000.00              5.00             -0.50              0.20       9.99500e+06      -23.01205676      -24.59072587      -25.57080982      -27.74806105      -28.20496509      -31.47177927      -32.46245707      -30.51272086      -21.74760269      -23.03307033      -21.90972521      -22.27380970      -18.85099094      -20.44435698      -22.41931802      -24.63107332      -25.38245045      -25.98479161      -32.02885714      -27.66798624      -28.11007378      -31.38905759      -32.49476719      -35.07360603      -35.50318719      -35.92647178      -36.02733834      -36.25560295      -18.78016629      -23.39408380      -25.96832075      -30.33311104      -33.53503107      -35.78698483      -36.61493102      -36.81962357      -29.81819222      -33.80082698      -35.69458543      -35.46114621      -36.19995651      -36.10673799      -36.77315277      -36.94797552      -36.31113867      -36.16804239      -36.55903587      -36.82833733      -36.97705958      -36.73526692      -36.87052618      -37.05423083      -37.39159407      -37.41993508      -37.59953696      -37.83545831      -37.93339707      -38.15661600      -38.10033697      -37.92423880      -37.96573023      -37.76935510      -37.82073375      -37.81527702      -37.84108490      -31.30269531      -26.64048938      -32.85122164      -30.38903609      -31.56560105      -30.51398563      -30.04673318      -34.55961782      -33.40029771      -36.66546595      -36.05841942      -36.98277959
           2100.00              4.50             -0.50              0.20       9.99500e+06      -24.21007639      -25.76768591      -26.57534785      -28.25971427      -28.66134526      -32.14562857      -32.97133951      -30.98640850      -22.20661196      -23.48541227      -22.36487786      -22.76401308      -20.66148705      -21.55591346      -23.67958038      -25.80306455      -26.23462444      -26.78527338      -32.49962498      -28.18642420      -28.58925965      -32.07396841      -32.99199974      -35.39132763      -35.75946217      -36.14091978      -36.21278784      -36.41595074      -20.55881095      -24.60681008      -26.85613288      -30.97389763      -33.96199329      -36.01633228      -36.79077834      -37.02983551      -30.56036631      -34.21235518      -35.94608510      -35.70256132      -36.41252582      -36.28003425      -36.93538995      -37.11380871      -36.52818088      -36.35656324      -36.76279773      -37.01807224      -37.15991775      -36.84582659      -36.93023056      -37.08734994      -37.45372514      -37.46984131      -37.66151643      -37.89936954      -37.99726760      -38.23058997      -38.17472994      -37.99705585      -38.02861677      -37.82011477      -37.87316668      -37.87188689      -37.88766482      -31.79027177      -27.22830913      -33.22875034      -30.53460010      -32.10607645      -30.68253656      -30.56988808      -34.87635396      -33.84401698      -36.84204387      -36.26343574      -37.20701176
