#  GBr_GRr           G
     4.03745      14.2547 
     2.75092      10.3483 
    0.653234      2.70472 
     2.19651      8.76558 
      1.1451     0.149948 
    0.369554       1.1088 
     3.71645      13.2298 
    0.699845      3.88009 
     1.66418      6.47684 
     1.98356      8.02048 
     2.64585      9.74761 
     1.38415      6.61248 
     1.02929      5.55823 
    0.588535      3.11241 
    0.232409      1.42504 
     0.70532       3.0186 
     2.80842      10.6947 
     1.90496       7.9816 
    0.721943      4.09109 
    0.446993   -0.0963698 
     1.67475      7.37257 
     2.59587      9.80509 
     3.82646      12.8694 
      2.9549      11.1178 
      2.8856      10.8609 
     2.92183      11.1254 
     3.41553       14.879 
     4.06318      13.8912 
    0.307774      1.82854 
     1.76063        16.78 
    0.656009      3.63903 
     1.21746      6.68096 
     2.71271       10.306 
      3.7204      13.3822 
     2.56255        16.33 
     3.21052      12.1128 
     2.36531      9.39277 
     1.23152    -0.299315 
      3.0335      10.4109 
     2.76419      10.5122 
    0.720828      3.98687 
     1.12408      5.80846 
     4.19984      13.6764 
    0.908069      5.00564 
     1.18602      5.55025 
     1.88239      7.92836 
     1.16041    -0.180181 
     2.79521      10.4158 
     1.60527      7.25444 
    0.672104      2.82283 
     2.23456        7.997 
       1.585      10.1982 
      1.2577      6.30044 
    0.610522      3.42232 
     2.84233      10.6183 
    0.991499       5.4301 
   0.0679536     0.996555 
    0.773761        4.344 
     2.50938      9.41674 
     2.32463      9.19543 
     2.37295      9.29981 
     1.45645      6.87532 
     2.66229      14.9778 
     2.47802      8.98114 
     2.95606       10.899 
     2.71523      10.0142 
     2.27846      10.0588 
     2.95975      10.8076 
     0.90671      5.05591 
     1.22011     0.420204 
     3.18821      11.9128 
    0.710111      2.94369 
     3.10701      11.4155 
     1.32421      6.52138 
     2.82715      10.5935 
     3.29151       13.339 
     2.95557      10.4861 
      1.6285      7.03693 
     2.93236      12.2494 
     3.68315      13.1598 
     4.10846      14.4746 
     3.39591      12.2747 
     3.34918      12.2336 
     1.98411      8.23726 
    0.748342      3.64351 
     3.23135      11.6973 
     1.88547      7.18306 
     1.39469      6.71039 
      3.0552      11.2755 
     1.21932      6.20403 
    0.583473      3.23109 
     2.88367      10.2011 
     3.43021      12.8035 
    0.874146      4.23141 
     4.21473      14.5127 
     3.91708      13.8053 
     4.10696      14.4209 
     3.88722      13.7027 
     2.99423      11.1226 
     1.83885      7.65284 
    0.172184     0.965342 
     2.75335      10.3309 
     2.66288      10.3221 
     3.07435      11.2855 
     4.23331      15.1869 
     2.41714      9.13242 
     3.98475      13.9985 
     2.54761      8.70996 
     3.81707       13.754 
     2.69175      10.2397 
     1.09243        5.817 
     1.09346       5.2168 
     3.52041      12.7436 
     3.28453      12.1689 
    0.912324      5.11264 
     2.02507      8.13256 
     3.24084      16.4098 
    0.467725      2.56044 
      2.5628      9.82253 
     1.96496      8.20042 
     3.49279      13.7516 
     1.91956      7.96712 
     2.70532      10.1687 
    0.412354       2.2179 
     2.70885      9.99875 
     1.22522      4.47624 
     2.68786      9.72633 
     1.05804      4.88486 
    0.321689       2.0607 
     1.57918      7.19709 
    0.793149      4.44533 
     4.16318      14.0669 
     3.04642      11.1504 
     2.68805      10.4314 
     1.19664      5.86985 
     1.55236      7.17496 
     3.31472      12.3948 
    0.390949       1.7281 
      2.5466      9.46554 
     2.96843      10.5379 
    0.445381      2.48283 
