!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Models calculated by Jeremy Heyl with Phoenix in March 2018; low T and high g various Z
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (characteristic of CCDs)
!
! HST ACS/WFC3 Bands / HST WFC3 Bands /  Johnson Bands / JWST NIRCAM Bands / GAIA / PanSTARRS / 2MASS
!
!                 1                 2                 3                 4                 5                 6                 7                 8                 9                10                11                12                13                14                15                16                17                18                19                20                21                22                23                24                25                26                27                28                29                30                31                32                33                34                35                36                37                38                39                40                41                42                43                44                45                46                47                48                49                50                51                52                53                54                55                56                57                58                59                60                61                62                63                64                65                66                67                68                69                70                71                72                73                74                75                76                77                78                79                80                81                82
!              Teff              Logg             [M/H]             [a/H]         LambdaMax             F435W             F475W             F555W             F606W             F625W             F775W             F814W            F200LP             F218W             F225W             F275W             F300X             F336W             F390W             F438W             F475W             F475X             F555W            F600LP             F606W             F625W             F775W             F814W             F105W             F110W             F125W             F140W             F160W                 U                 B                 V                 R                 I                 J                 H                 K         F070W_NRC         F090W_NRC         F115W_NRC         F140M_NRC        F150W2_NRC         F150W_NRC         F162M_NRC         F164N_NRC         F182M_NRC         F187N_NRC         F200W_NRC         F210M_NRC         F212N_NRC         F250M_NRC         F277W_NRC         F300M_NRC        F322W2_NRC         F323N_NRC         F335M_NRC         F356W_NRC         F360M_NRC         F405N_NRC         F410M_NRC         F430M_NRC         F444W_NRC         F460M_NRC         F466N_NRC         F470N_NRC         F480M_NRC     GAIA_GAIA2r.G   GAIA_GAIA2r.Gbp   GAIA_GAIA2r.Grp  PAN-STARRS-PS1.g  PAN-STARRS-PS1.i  PAN-STARRS-PS1.r  PAN-STARRS-PS1.w  PAN-STARRS-PS1.y  PAN-STARRS-PS1.z     2MASS_2MASS.H     2MASS_2MASS.J    2MASS_2MASS.Ks
           3200.00              4.50             -1.50              0.40       9.99500e+06      -32.44742351      -33.21602633      -34.01006561      -34.53550880      -34.82701171      -36.25647421      -36.45064022      -34.70334219      -26.39328148      -26.81878382      -26.80232487      -29.32152612      -30.70611058      -31.47681846      -32.28717431      -33.25600716      -33.53225761      -33.94346046      -35.98883361      -34.50488929      -34.79045188      -36.22740389      -36.44517998      -37.29964707      -37.50073100      -37.74174984      -37.93339987      -38.13687797      -30.94952163      -32.50838071      -34.11738190      -35.54387777      -36.75963339      -37.69857468      -38.28940309      -38.48627643      -35.65732464      -36.87901620      -37.56059722      -37.90995075      -38.01942262      -38.07757380      -38.32297541      -38.39945865      -38.30484148      -38.29522130      -38.37157585      -38.45206612      -38.48071100      -38.47806055      -38.51044205      -38.54927117      -38.67835306      -38.67922883      -38.77197990      -38.86784962      -38.92284019      -39.05106034      -39.02977073      -39.01102514      -39.00336299      -38.96538567      -39.00128310      -38.97533707      -38.97936965      -35.39613882      -33.95731202      -36.31206039      -33.64607697      -36.14579719      -34.83086816      -35.10473919      -37.07729796      -36.78849281      -38.30774091      -37.75338053      -38.53007820
           3300.00              4.50             -1.50              0.40       9.99500e+06      -32.81448063      -33.54996144      -34.34664198      -34.86975260      -35.17096847      -36.43629594      -36.61209453      -34.93071531      -26.71813039      -27.04847185      -27.38362314      -29.80804366      -31.21073182      -31.91704527      -32.66452291      -33.58907162      -33.87518393      -34.28177455      -36.18569252      -34.83929727      -35.13043777      -36.41017763      -36.60724118      -37.41019883      -37.60686199      -37.84256228      -38.04213456      -38.24999246      -31.43470690      -32.87135883      -34.45140334      -35.78603309      -36.89797513      -37.80293805      -38.39575706      -38.59202288      -35.89978113      -37.00932106      -37.66164443      -38.03182446      -38.12740093      -38.19160805      -38.42507856      -38.49821661      -38.42385793      -38.41972274      -38.48536364      -38.55872427      -38.58261563      -38.58698452      -38.61655620      -38.64982529      -38.76738987      -38.76576424      -38.85164556      -38.94023232      -38.99163895      -39.11453628      -39.09368713      -39.07931570      -39.07139508      -39.03855860      -39.07427635      -39.04693242      -39.05152655      -35.60411716      -34.29951322      -36.48244019      -33.92927270      -36.33539857      -35.15889672      -35.35052647      -37.19613789      -36.92524928      -38.41291824      -37.84974121      -38.63076905
           3300.00              5.00             -1.50              0.40       9.99500e+06      -32.71385512      -33.48506050      -34.31463914      -34.82475296      -35.12175120      -36.44184254      -36.62109484      -34.91617933      -26.58729424      -27.01147891      -27.03158578      -29.55100308      -30.93862133      -31.64376024      -32.51792249      -33.52721737      -33.82763507      -34.24656924      -36.18074492      -34.79519480      -35.08634125      -36.41619902      -36.61775372      -37.42036012      -37.61865767      -37.85555722      -38.06007287      -38.26667963      -31.12694598      -32.76485739      -34.41560285      -35.77102971      -36.90840311      -37.81672470      -38.40216658      -38.57396176      -35.88311476      -37.01968021      -37.67257946      -38.05306889      -38.13100595      -38.20908302      -38.43148343      -38.49999816      -38.41887748      -38.41764315      -38.47632729      -38.54821903      -38.57472952      -38.56407727      -38.60016396      -38.63826629      -38.75870529      -38.76458895      -38.85376682      -38.93945685      -38.99203980      -39.10831580      -39.08673187      -39.06855213      -39.05645581      -39.01376781      -39.05156070      -39.02707298      -39.02988595      -35.59681080      -34.25861840      -36.48351399      -33.88342016      -36.33471059      -35.12649936      -35.33568941      -37.20545856      -36.93485523      -38.41828858      -37.86138743      -38.61328037
           3300.00              5.50             -1.50              0.40       9.99500e+06      -32.57935145      -33.38726232      -34.24535400      -34.74202391      -35.03203420      -36.44271873      -36.62814560      -34.88744377      -26.43557076      -26.97225134      -26.68287101      -29.20814085      -30.56124813      -31.28679084      -32.31960752      -33.43289528      -33.74408331      -34.17480168      -36.16700329      -34.71346919      -35.00259830      -36.41703571      -36.62641044      -37.42938482      -37.63031552      -37.86946557      -38.07691553      -38.27627944      -30.72369377      -32.62298667      -34.34219907      -35.73941323      -36.91815883      -37.83119352      -38.39623523      -38.53611823      -35.85035673      -37.02948767      -37.68337942      -38.07494538      -38.12594372      -38.22122077      -38.42423686      -38.48512099      -38.40084816      -38.40527052      -38.45110993      -38.51833817      -38.54492732      -38.52738919      -38.57481920      -38.62221314      -38.74247531      -38.76311754      -38.85277055      -38.93244485      -38.98496770      -39.09263419      -39.07050148      -39.04964376      -39.03303166      -38.98025684      -39.02103439      -38.99973416      -39.00147604      -35.57843627      -34.18066881      -36.47946328      -33.81104277      -36.32745033      -35.05813372      -35.30397306      -37.21303842      -36.94530758      -38.41067452      -37.87395485      -38.57291428
           3400.00              4.50             -1.50              0.40       9.99500e+06      -33.15657379      -33.86040160      -34.65117297      -35.17225920      -35.48033662      -36.60647149      -36.76679965      -35.14810336      -27.03579034      -27.28587022      -27.92469643      -30.25865257      -31.66831634      -32.32495420      -33.01789867      -33.89823417      -34.18739699      -34.58871449      -36.37470789      -35.14194625      -35.43626080      -36.58273939      -36.76242420      -37.51880846      -37.71137222      -37.94229353      -38.14888155      -38.36075276      -31.87827366      -33.20977154      -34.75369725      -36.01325063      -37.03227763      -37.90576825      -38.50047584      -38.69432888      -36.12593965      -37.13666052      -37.76159992      -38.14902960      -38.23310582      -38.30295942      -38.52578070      -38.59566880      -38.53969316      -38.54049957      -38.59626992      -38.66312481      -38.68307275      -38.69068247      -38.71734022      -38.74531050      -38.85316332      -38.84923524      -38.92916716      -39.01094385      -39.05913728      -39.17649096      -39.15576378      -39.14454395      -39.13610616      -39.10669724      -39.14241191      -39.11400538      -39.11897012      -35.80353201      -34.60881107      -36.64712063      -34.19902772      -36.51442587      -35.45676987      -35.58141310      -37.31277636      -37.05862845      -38.51640215      -37.94551417      -38.72876545
           3400.00              5.00             -1.50              0.40       9.99500e+06      -33.06324170      -33.79956349      -34.62211794      -35.13371766      -35.43916786      -36.60852673      -36.77088747      -35.13119421      -26.91172193      -27.24754648      -27.66161555      -30.04717014      -31.44809727      -32.09235525      -32.88770966      -33.84014580      -34.14414848      -34.55697542      -36.36636941      -35.10400406      -35.39934968      -36.58563971      -36.76798620      -37.52337624      -37.71743635      -37.94946651      -38.15998092      -38.37027696      -31.61673575      -33.11196230      -34.72207309      -35.99798421      -37.03670884      -37.91367434      -38.50139857      -38.67841639      -36.10976538      -37.14065535      -37.76701828      -38.16346340      -38.23296284      -38.31325435      -38.52653931      -38.59235733      -38.53345744      -38.53830848      -38.58706484      -38.65284403      -38.67460450      -38.67471999      -38.70781512      -38.74041827      -38.84790264      -38.85095846      -38.93214090      -39.01026266      -39.05852277      -39.16991693      -39.14873931      -39.13527995      -39.12405482      -39.08813251      -39.12551147      -39.09948889      -39.10322925      -35.79312048      -34.57230921      -36.64365179      -34.15421774      -36.51163354      -35.42789461      -35.56575512      -37.31659889      -37.06171292      -38.51650794      -37.95168617      -38.71272698
           3400.00              5.50             -1.50              0.40       9.99500e+06      -32.95528034      -33.72406403      -34.57624197      -35.07109966      -35.36976971      -36.61367711      -36.78078919      -35.10927033      -26.76905863      -27.19835725      -27.29221848      -29.76541425      -31.14957422      -31.79826808      -32.72515330      -33.76805931      -34.08357567      -34.50769759      -36.35662046      -35.04259079      -35.33612775      -36.59124361      -36.77968609      -37.53582132      -37.73109274      -37.96379362      -38.17720364      -38.38219085      -31.29124479      -32.99636684      -34.67159507      -35.97396077      -37.04919074      -37.92875360      -38.50069548      -38.65177968      -36.08484558      -37.15341782      -37.77977043      -38.18485098      -38.23292542      -38.32704920      -38.52479087      -38.58430575      -38.52310532      -38.53457555      -38.57093656      -38.63314356      -38.65538463      -38.64819974      -38.68986637      -38.72926547      -38.83699119      -38.85204071      -38.93378177      -39.00676316      -39.05489792      -39.15885550      -39.13717310      -39.12120786      -39.10595070      -39.06135185      -39.10133229      -39.07811976      -39.08063117      -35.78018014      -34.51598693      -36.64266196      -34.09836089      -36.50901452      -35.37732483      -35.54231176      -37.32808908      -37.07331585      -38.51441488      -37.96486518      -38.68458703
           3500.00              4.50             -1.50              0.40       9.99500e+06      -33.47002120      -34.14094905      -34.91799010      -35.43658916      -35.74869873      -36.76378610      -36.91065874      -35.34827617      -27.34055012      -27.52939583      -28.44073724      -30.67383394      -32.08899120      -32.70285307      -33.34328565      -34.17756195      -34.46415490      -34.85868369      -36.54934284      -35.40643041      -35.70180635      -36.74230687      -36.90685810      -37.62115429      -37.80950560      -38.03555184      -38.24872649      -38.46500573      -32.28335769      -33.51969954      -35.01914262      -36.21936366      -37.15782504      -38.00214203      -38.59985131      -38.79262151      -36.33064097      -37.25597001      -37.85596326      -38.25712038      -38.33335775      -38.40711126      -38.62171965      -38.68820086      -38.65119043      -38.65816231      -38.70340787      -38.76434756      -38.78060816      -38.79181213      -38.81657593      -38.84028666      -38.93770433      -38.93262334      -39.00621681      -39.08034590      -39.12499694      -39.23553429      -39.21484746      -39.20643072      -39.19754518      -39.17080712      -39.20671258      -39.17748110      -39.18307136      -35.98759737      -34.88103135      -36.80026925      -34.44742691      -36.68000497      -35.71650097      -35.79124983      -37.42258302      -37.18331901      -38.61478070      -38.03580654      -38.82261386
           3500.00              5.00             -1.50              0.40       9.99500e+06      -33.39499986      -34.09550565      -34.90097444      -35.41237164      -35.72297114      -36.76880638      -36.91693208      -35.33753345      -27.23308867      -27.49998255      -28.25766120      -30.51328381      -31.92091469      -32.51312207      -33.23897440      -34.13417846      -34.43389223      -34.83916964      -36.54563509      -35.38265354      -35.67928078      -36.74807567      -36.91429827      -37.62707008      -37.81632759      -38.04304390      -38.25783330      -38.47079221      -32.07810793      -33.44118193      -34.99948445      -36.21115791      -37.16408243      -38.00995435      -38.59818770      -38.77839350      -36.32163721      -37.26169600      -37.86227617      -38.26892168      -38.33259304      -38.41421224      -38.61969049      -38.68278228      -38.64394200      -38.65573347      -38.69384653      -38.75382846      -38.77143619      -38.77905621      -38.80925245      -38.83683094      -38.93332585      -38.93426424      -39.00830495      -39.07923689      -39.12353396      -39.22924428      -39.20852926      -39.19861957      -39.18782727      -39.15672168      -39.19392474      -39.16672385      -39.17119127      -35.98233265      -34.85639445      -36.80022481      -34.41380939      -36.68116017      -35.69957499      -35.78256002      -37.42790486      -37.18807111      -38.61233785      -38.04239269      -38.80812277
           3500.00              5.50             -1.50              0.40       9.99500e+06      -33.29801461      -34.02881705      -34.86401669      -35.36462417      -35.67153330      -36.77181856      -36.92332607      -35.31717894      -27.09900710      -27.44732547      -27.96333204      -30.28565001      -31.68441151      -32.26715050      -33.09826238      -34.07044054      -34.38339627      -34.79984340      -36.53596181      -35.33576339      -35.63265654      -36.75180901      -36.92226814      -37.63535666      -37.82581217      -38.05328360      -38.27070152      -38.47941995      -31.80825649      -33.33804308      -34.95922862      -36.19140444      -37.17207341      -38.02086053      -38.59637342      -38.75683947      -36.30154007      -37.26968828      -37.87106177      -38.28552576      -38.33152990      -38.42431972      -38.61697811      -38.67486371      -38.63463398      -38.65164801      -38.68027328      -38.73782050      -38.75589021      -38.76064181      -38.79841959      -38.83181054      -38.92650754      -38.93757268      -39.01086029      -39.07683853      -39.12029192      -39.21954067      -39.19860113      -39.18713768      -39.17376661      -39.13693522      -39.17615366      -39.15150681      -39.15498242      -35.96972026      -34.81204556      -36.79723605      -34.36332056      -36.67779351      -35.66201783      -35.76254407      -37.43534041      -37.19490299      -38.60937853      -38.05169584      -38.78529567
